"sale_yr","sale_month","sale_day","bedrooms","bathrooms","sqft_living","sqft_lot","floors","condition","grade","sqft_above","sqft_basement","yr_built","zipcode","lat","long","sqft_living15","sqft_lot15","price"
2014.0,12.0,3.0,4.0,2.75,2060.0,6659.0,1.0,3.0,7.0,1280.0,780.0,1981.0,98058.0,47.4276,-122.157,2020.0,8720.0,322500.0
2014.0,12.0,30.0,4.0,2.0,2360.0,6000.0,2.0,4.0,8.0,2360.0,0.0,1904.0,98107.0,47.6702,-122.362,1730.0,4700.0,640000.0
2015.0,2.0,13.0,4.0,1.0,1220.0,8075.0,1.0,2.0,7.0,890.0,330.0,1969.0,98001.0,47.3341,-122.282,1290.0,7800.0,240000.0
2014.0,6.0,20.0,4.0,2.5,2620.0,7553.0,2.0,3.0,8.0,2620.0,0.0,1996.0,98056.0,47.5301,-122.18,2620.0,11884.0,605000.0
2014.0,7.0,15.0,4.0,2.5,2570.0,5520.0,2.0,3.0,9.0,2570.0,0.0,2000.0,98074.0,47.6145,-122.027,2470.0,5669.0,625000.0
2014.0,8.0,11.0,4.0,2.25,4220.0,24186.0,1.0,3.0,8.0,2600.0,1620.0,1984.0,98166.0,47.445,-122.347,2410.0,30617.0,775000.0
2014.0,7.0,7.0,5.0,2.75,3595.0,5639.0,2.0,3.0,9.0,3595.0,0.0,2014.0,98053.0,47.6848,-122.016,3625.0,5639.0,861990.0
2014.0,7.0,16.0,4.0,2.5,2290.0,13416.0,2.0,4.0,9.0,2290.0,0.0,1981.0,98007.0,47.6194,-122.151,2680.0,13685.0,785000.0
2015.0,3.0,11.0,3.0,2.5,2753.0,65005.0,1.0,5.0,9.0,2165.0,588.0,1953.0,98070.0,47.4041,-122.451,2680.0,72513.0,1350000.0
2015.0,2.0,17.0,5.0,2.5,3150.0,9134.0,1.0,4.0,8.0,1640.0,1510.0,1966.0,98056.0,47.4934,-122.189,1990.0,9133.0,345000.0
2015.0,2.0,5.0,2.0,1.75,1980.0,8550.0,1.0,3.0,7.0,990.0,990.0,1981.0,98117.0,47.6989,-122.369,1480.0,6738.0,585000.0
2015.0,3.0,3.0,5.0,2.25,2730.0,6000.0,1.5,3.0,8.0,2130.0,600.0,1927.0,98105.0,47.6571,-122.281,2730.0,6000.0,920000.0
2014.0,5.0,12.0,4.0,2.5,2830.0,5000.0,2.0,3.0,9.0,2830.0,0.0,1995.0,98105.0,47.6597,-122.29,1950.0,5000.0,885000.0
2014.0,8.0,19.0,4.0,2.5,2250.0,4495.0,2.0,3.0,7.0,2250.0,0.0,2008.0,98042.0,47.3663,-122.114,2250.0,4500.0,292500.0
2015.0,4.0,7.0,3.0,2.5,2420.0,4750.0,2.0,3.0,8.0,2420.0,0.0,2003.0,98042.0,47.3663,-122.122,2690.0,4750.0,301000.0
2014.0,12.0,10.0,3.0,2.25,2150.0,21235.0,1.0,4.0,8.0,1590.0,560.0,1959.0,98166.0,47.4336,-122.339,2570.0,18900.0,650000.0
2014.0,10.0,21.0,3.0,1.75,2519.0,8690.0,2.0,5.0,8.0,2519.0,0.0,1973.0,98166.0,47.4428,-122.344,2500.0,9500.0,505000.0
2014.0,12.0,7.0,3.0,1.75,1540.0,1044.0,3.0,3.0,8.0,1540.0,0.0,2014.0,98115.0,47.6765,-122.32,1580.0,3090.0,549000.0
2014.0,11.0,20.0,3.0,2.75,2770.0,3809.0,1.5,5.0,7.0,1770.0,1000.0,1925.0,98144.0,47.5747,-122.304,1440.0,4000.0,317625.0
2014.0,9.0,9.0,4.0,2.5,2720.0,11049.0,2.0,3.0,10.0,2720.0,0.0,1989.0,98004.0,47.5815,-122.192,2750.0,11049.0,975000.0
2014.0,8.0,25.0,3.0,1.0,1000.0,12070.0,1.0,4.0,7.0,1000.0,0.0,1968.0,98042.0,47.3621,-122.11,1010.0,12635.0,204000.0
2014.0,9.0,12.0,5.0,3.25,4770.0,50094.0,1.0,4.0,11.0,3070.0,1700.0,1973.0,98005.0,47.6525,-122.16,3530.0,38917.0,1040000.0
2014.0,6.0,10.0,4.0,2.0,2750.0,7807.0,1.5,5.0,7.0,2250.0,500.0,1916.0,98125.0,47.7168,-122.287,1510.0,7807.0,571000.0
2015.0,3.0,16.0,3.0,1.75,1790.0,50529.0,1.0,5.0,7.0,1090.0,700.0,1965.0,98042.0,47.3511,-122.073,1940.0,50529.0,349000.0
2014.0,11.0,5.0,4.0,4.0,3430.0,35102.0,2.0,4.0,10.0,2390.0,1040.0,1986.0,98075.0,47.5822,-121.987,3240.0,35020.0,832500.0
2015.0,4.0,20.0,3.0,1.0,1040.0,5060.0,1.0,3.0,7.0,1040.0,0.0,1941.0,98116.0,47.5636,-122.394,890.0,5060.0,480000.0
2014.0,6.0,9.0,3.0,1.0,1410.0,5060.0,1.0,4.0,7.0,910.0,500.0,1956.0,98133.0,47.7073,-122.34,1130.0,5693.0,410000.0
2014.0,10.0,28.0,2.0,1.0,2020.0,6720.0,1.0,3.0,7.0,1010.0,1010.0,1948.0,98118.0,47.5474,-122.291,1720.0,6720.0,355000.0
2014.0,6.0,2.0,3.0,1.0,960.0,6634.0,1.0,3.0,6.0,960.0,0.0,1952.0,98125.0,47.7264,-122.31,1570.0,7203.0,315000.0
2014.0,11.0,14.0,3.0,1.5,2140.0,3600.0,2.0,3.0,9.0,1900.0,240.0,1925.0,98119.0,47.6337,-122.365,2020.0,4800.0,940000.0
2014.0,11.0,3.0,5.0,2.25,2660.0,8400.0,1.5,5.0,7.0,2660.0,0.0,1961.0,98092.0,47.2909,-122.189,1590.0,8165.0,305000.0
2014.0,5.0,19.0,2.0,2.25,1610.0,2040.0,2.0,4.0,7.0,1610.0,0.0,1979.0,98056.0,47.518,-122.194,1950.0,2025.0,215000.0
2015.0,3.0,11.0,5.0,2.75,3520.0,6353.0,2.0,4.0,10.0,3520.0,0.0,2001.0,98199.0,47.6506,-122.391,2520.0,6250.0,1099880.0
2014.0,9.0,12.0,4.0,1.5,1160.0,6400.0,1.0,4.0,7.0,1160.0,0.0,1975.0,98023.0,47.3036,-122.378,1160.0,6400.0,199000.0
2014.0,5.0,16.0,3.0,2.5,2320.0,36847.0,2.0,3.0,9.0,2320.0,0.0,1992.0,98045.0,47.4838,-121.714,2550.0,35065.0,437500.0
2014.0,6.0,11.0,3.0,2.5,2070.0,13241.0,1.5,5.0,9.0,1270.0,800.0,1910.0,98102.0,47.6415,-122.315,2200.0,4500.0,850830.0
2014.0,10.0,27.0,3.0,2.0,1980.0,3478.0,1.5,4.0,7.0,1440.0,540.0,1929.0,98117.0,47.6775,-122.372,1610.0,3478.0,555000.0
2014.0,12.0,12.0,3.0,2.25,2190.0,107593.0,2.0,4.0,8.0,2190.0,0.0,1983.0,98077.0,47.7731,-122.08,2570.0,47777.0,699950.0
2014.0,10.0,7.0,3.0,2.5,2920.0,8113.0,2.0,3.0,8.0,2920.0,0.0,1950.0,98004.0,47.5814,-122.196,2370.0,8113.0,1088000.0
2014.0,9.0,24.0,3.0,1.0,1210.0,33919.0,1.0,3.0,7.0,1210.0,0.0,1954.0,98058.0,47.4375,-122.184,1640.0,14910.0,290000.0
2015.0,4.0,2.0,3.0,2.5,2340.0,10005.0,1.0,4.0,8.0,1460.0,880.0,1978.0,98058.0,47.4431,-122.133,2250.0,8162.0,375000.0
2015.0,3.0,5.0,4.0,2.5,3140.0,28037.0,2.0,4.0,10.0,3140.0,0.0,1991.0,98077.0,47.7304,-122.082,2990.0,35001.0,680000.0
2014.0,8.0,27.0,5.0,1.75,2030.0,12342.0,2.0,4.0,7.0,2030.0,0.0,1942.0,98052.0,47.6417,-122.109,2500.0,9433.0,470000.0
2014.0,7.0,25.0,4.0,2.5,2310.0,9624.0,2.0,3.0,8.0,2310.0,0.0,1984.0,98027.0,47.5386,-122.053,1940.0,9636.0,597750.0
2015.0,3.0,4.0,3.0,1.75,1260.0,3328.0,1.0,5.0,6.0,700.0,560.0,1905.0,98103.0,47.6823,-122.349,1380.0,3536.0,570000.0
2015.0,1.0,8.0,4.0,2.0,1570.0,9600.0,1.0,3.0,6.0,1570.0,0.0,1950.0,98168.0,47.4965,-122.303,1880.0,9000.0,171800.0
2015.0,5.0,11.0,4.0,1.0,1610.0,2982.0,1.5,4.0,7.0,1610.0,0.0,1925.0,98144.0,47.587,-122.294,1610.0,4040.0,535000.0
2015.0,4.0,6.0,2.0,1.0,770.0,6000.0,1.0,3.0,6.0,770.0,0.0,1953.0,98117.0,47.6999,-122.364,1710.0,6000.0,395000.0
2014.0,11.0,4.0,4.0,1.75,2100.0,4400.0,1.5,5.0,7.0,1720.0,380.0,1924.0,98118.0,47.5299,-122.266,1850.0,4400.0,445000.0
2014.0,7.0,17.0,3.0,2.25,2100.0,8201.0,1.0,3.0,8.0,1620.0,480.0,1967.0,98178.0,47.5091,-122.244,2660.0,8712.0,445000.0
2014.0,7.0,17.0,4.0,2.25,2160.0,8811.0,1.0,3.0,8.0,1360.0,800.0,1978.0,98023.0,47.3129,-122.39,2090.0,8400.0,260000.0
2014.0,6.0,13.0,5.0,3.5,2320.0,4960.0,2.0,5.0,7.0,1720.0,600.0,1926.0,98103.0,47.6763,-122.352,1700.0,4960.0,822500.0
2015.0,4.0,6.0,4.0,2.5,2070.0,4310.0,2.0,3.0,7.0,2070.0,0.0,2004.0,98065.0,47.5319,-121.85,1970.0,3748.0,430000.0
2015.0,1.0,5.0,3.0,1.75,1060.0,7875.0,1.0,4.0,7.0,1060.0,0.0,1986.0,98092.0,47.2761,-122.152,1420.0,7680.0,212000.0
2015.0,1.0,26.0,4.0,3.5,2140.0,2278.0,3.0,3.0,9.0,2140.0,0.0,2005.0,98107.0,47.6734,-122.38,1540.0,2285.0,675000.0
2014.0,8.0,13.0,3.0,1.75,1320.0,17390.0,1.0,4.0,7.0,1320.0,0.0,1956.0,98003.0,47.3257,-122.296,1550.0,19265.0,199000.0
2014.0,8.0,5.0,4.0,1.75,2020.0,7840.0,1.0,3.0,7.0,1010.0,1010.0,1968.0,98003.0,47.3309,-122.299,1750.0,8140.0,220000.0
2014.0,7.0,7.0,2.0,1.0,1190.0,4440.0,1.0,3.0,6.0,1190.0,0.0,1981.0,98125.0,47.7135,-122.287,1060.0,5715.0,382500.0
2015.0,2.0,27.0,4.0,2.25,2030.0,8517.0,1.0,4.0,8.0,1380.0,650.0,1961.0,98006.0,47.5495,-122.174,2230.0,8824.0,500000.0
2014.0,6.0,25.0,4.0,1.0,2550.0,4000.0,2.0,3.0,8.0,2370.0,180.0,1905.0,98109.0,47.6354,-122.353,2200.0,4000.0,890000.0
2014.0,10.0,30.0,5.0,2.0,2260.0,12500.0,1.0,4.0,8.0,1130.0,1130.0,1960.0,98032.0,47.3887,-122.286,1360.0,18000.0,258000.0
2014.0,11.0,4.0,3.0,1.0,1430.0,3455.0,1.0,3.0,7.0,980.0,450.0,1947.0,98103.0,47.6873,-122.336,1450.0,4599.0,511000.0
2015.0,3.0,31.0,3.0,1.0,1250.0,8200.0,1.0,4.0,7.0,1250.0,0.0,1954.0,98003.0,47.3255,-122.304,1680.0,8633.0,282950.0
2014.0,7.0,28.0,3.0,1.0,1180.0,7669.0,1.0,4.0,7.0,1180.0,0.0,1967.0,98058.0,47.4479,-122.176,1190.0,7669.0,215000.0
2014.0,11.0,20.0,5.0,3.5,3960.0,25245.0,2.0,3.0,9.0,2500.0,1460.0,1996.0,98056.0,47.525,-122.172,2640.0,13675.0,650000.0
2014.0,8.0,7.0,4.0,2.75,2640.0,7500.0,1.0,3.0,8.0,1620.0,1020.0,1967.0,98023.0,47.3135,-122.369,1980.0,7875.0,320000.0
2014.0,10.0,3.0,4.0,1.75,1760.0,11180.0,1.0,4.0,8.0,1760.0,0.0,1968.0,98059.0,47.4715,-122.118,1730.0,11180.0,320000.0
2014.0,5.0,7.0,5.0,2.25,2060.0,8632.0,1.0,3.0,7.0,1030.0,1030.0,1962.0,98146.0,47.4877,-122.335,1010.0,11680.0,255000.0
2014.0,6.0,20.0,3.0,2.75,1910.0,7280.0,1.0,3.0,7.0,1160.0,750.0,1979.0,98034.0,47.7319,-122.224,1710.0,8152.0,441000.0
2014.0,12.0,8.0,3.0,1.75,1580.0,7000.0,1.0,3.0,7.0,1180.0,400.0,1976.0,98034.0,47.7209,-122.168,1640.0,7500.0,370000.0
2015.0,3.0,24.0,4.0,2.5,2680.0,4499.0,2.0,3.0,9.0,2680.0,0.0,1999.0,98006.0,47.565,-122.125,2920.0,4500.0,807100.0
2014.0,6.0,11.0,3.0,2.0,1370.0,8336.0,1.0,5.0,7.0,1370.0,0.0,1964.0,98133.0,47.7458,-122.331,1770.0,7288.0,371500.0
2015.0,3.0,16.0,3.0,1.75,1560.0,21000.0,1.0,3.0,7.0,1560.0,0.0,1954.0,98166.0,47.4776,-122.337,1070.0,7920.0,284000.0
2015.0,1.0,2.0,3.0,1.75,2160.0,7140.0,1.0,4.0,7.0,1670.0,490.0,1978.0,98023.0,47.3026,-122.374,1930.0,7350.0,272000.0
2014.0,7.0,9.0,5.0,2.75,1970.0,5400.0,1.0,3.0,7.0,1320.0,650.0,1986.0,98144.0,47.5868,-122.308,1280.0,2150.0,399950.0
2014.0,5.0,30.0,3.0,1.0,1220.0,4800.0,1.0,3.0,6.0,1220.0,0.0,1901.0,98122.0,47.6101,-122.307,1200.0,4800.0,385000.0
2014.0,11.0,17.0,3.0,1.5,1950.0,7560.0,1.0,4.0,7.0,1320.0,630.0,1975.0,98022.0,47.1976,-121.999,1950.0,8941.0,269950.0
2014.0,6.0,13.0,4.0,3.0,2440.0,9600.0,2.0,5.0,7.0,2440.0,0.0,1961.0,98034.0,47.7044,-122.2,2290.0,9600.0,589000.0
2014.0,9.0,5.0,4.0,2.75,3130.0,13412.0,2.0,3.0,9.0,2140.0,990.0,1993.0,98052.0,47.6993,-122.102,2260.0,9984.0,835000.0
2014.0,11.0,21.0,5.0,3.0,4090.0,12850.0,1.0,4.0,10.0,2090.0,2000.0,1986.0,98033.0,47.6627,-122.188,2540.0,10270.0,1095000.0
2015.0,4.0,15.0,4.0,1.75,1490.0,10000.0,1.0,4.0,8.0,1100.0,390.0,1969.0,98023.0,47.3099,-122.379,2190.0,8910.0,269000.0
2014.0,9.0,12.0,3.0,2.5,2140.0,9897.0,1.0,4.0,8.0,2140.0,0.0,1959.0,98040.0,47.5505,-122.219,2680.0,10083.0,799000.0
2014.0,5.0,15.0,3.0,2.5,1690.0,5025.0,2.0,3.0,8.0,1690.0,0.0,2003.0,98023.0,47.2779,-122.347,2550.0,5001.0,256883.0
2014.0,7.0,23.0,3.0,2.5,2150.0,4084.0,2.0,3.0,8.0,2150.0,0.0,2007.0,98126.0,47.5488,-122.372,1750.0,2385.0,465000.0
2014.0,7.0,16.0,3.0,1.0,1010.0,5000.0,1.0,3.0,7.0,1010.0,0.0,1952.0,98107.0,47.675,-122.394,1680.0,5000.0,470000.0
2014.0,8.0,4.0,3.0,1.5,1300.0,7370.0,1.0,4.0,7.0,900.0,400.0,1976.0,98023.0,47.3025,-122.37,1430.0,7500.0,226500.0
2014.0,9.0,19.0,3.0,2.5,2440.0,4587.0,2.0,3.0,8.0,2440.0,0.0,2010.0,98052.0,47.7073,-122.114,2750.0,4587.0,677900.0
2015.0,2.0,5.0,3.0,1.0,1010.0,5864.0,1.0,3.0,7.0,1010.0,0.0,1915.0,98116.0,47.5733,-122.381,1290.0,5000.0,425000.0
2014.0,7.0,17.0,6.0,3.0,2300.0,3404.0,2.0,3.0,7.0,1600.0,700.0,1920.0,98133.0,47.7067,-122.343,1560.0,1312.0,464000.0
2014.0,5.0,15.0,4.0,2.5,2240.0,12032.0,1.0,3.0,9.0,2240.0,0.0,1983.0,98074.0,47.6143,-122.017,2520.0,12368.0,592500.0
2014.0,7.0,3.0,3.0,2.5,2250.0,5692.0,2.0,3.0,8.0,2250.0,0.0,2000.0,98146.0,47.5133,-122.379,1320.0,5390.0,445838.0
2014.0,10.0,23.0,2.0,1.5,1320.0,10800.0,1.0,4.0,8.0,1320.0,0.0,1947.0,98177.0,47.7145,-122.367,2120.0,12040.0,467000.0
2014.0,8.0,22.0,4.0,2.5,2760.0,6440.0,2.0,3.0,10.0,2760.0,0.0,1999.0,98075.0,47.5836,-122.026,3070.0,8127.0,686000.0
2014.0,6.0,5.0,3.0,2.0,1750.0,9750.0,1.0,3.0,7.0,1350.0,400.0,1961.0,98198.0,47.398,-122.299,1900.0,10125.0,279950.0
2014.0,9.0,4.0,4.0,2.25,2330.0,19436.0,2.0,3.0,8.0,2330.0,0.0,1987.0,98011.0,47.7663,-122.215,1910.0,10055.0,527000.0
2014.0,9.0,3.0,3.0,2.25,2020.0,8379.0,2.0,3.0,7.0,2020.0,0.0,1994.0,98038.0,47.3828,-122.023,2020.0,8031.0,328000.0
2014.0,6.0,4.0,3.0,2.25,1250.0,7500.0,1.0,5.0,7.0,1250.0,0.0,1942.0,98146.0,47.5123,-122.373,1280.0,7392.0,390000.0
2015.0,1.0,15.0,3.0,1.0,1430.0,15246.0,1.0,4.0,7.0,980.0,450.0,1961.0,98031.0,47.4075,-122.214,1960.0,13068.0,235000.0
2015.0,4.0,13.0,2.0,1.75,1450.0,15798.0,2.0,3.0,7.0,1230.0,220.0,1915.0,98166.0,47.4497,-122.375,2030.0,13193.0,655000.0
2014.0,11.0,20.0,2.0,1.0,1000.0,10200.0,1.0,3.0,6.0,1000.0,0.0,1961.0,98024.0,47.5687,-121.899,1150.0,13702.0,213000.0
2014.0,6.0,10.0,5.0,4.0,3760.0,28040.0,2.0,3.0,10.0,3760.0,0.0,1983.0,98033.0,47.6489,-122.183,3430.0,35096.0,1025000.0
2015.0,3.0,20.0,4.0,1.0,1970.0,4740.0,1.5,3.0,7.0,1670.0,300.0,1904.0,98122.0,47.6136,-122.303,1510.0,4740.0,410000.0
2014.0,7.0,1.0,3.0,3.5,3830.0,221284.0,2.0,3.0,10.0,3530.0,300.0,1993.0,98077.0,47.7641,-122.023,2920.0,148539.0,800000.0
2014.0,12.0,8.0,3.0,1.75,1430.0,8505.0,1.0,4.0,7.0,1430.0,0.0,1968.0,98003.0,47.3173,-122.319,1190.0,8640.0,225000.0
2015.0,1.0,27.0,2.0,1.0,1430.0,5000.0,1.5,2.0,7.0,1430.0,0.0,1925.0,98115.0,47.6727,-122.299,1450.0,3750.0,455000.0
2015.0,4.0,27.0,3.0,1.0,1300.0,8316.0,1.0,4.0,6.0,1300.0,0.0,1954.0,98002.0,47.3221,-122.216,1260.0,8316.0,225000.0
2014.0,8.0,26.0,2.0,1.0,1030.0,3060.0,1.0,4.0,7.0,790.0,240.0,1918.0,98103.0,47.6779,-122.353,1390.0,3060.0,480000.0
2015.0,2.0,12.0,3.0,2.5,2740.0,11872.0,2.0,3.0,9.0,2740.0,0.0,1990.0,98023.0,47.3076,-122.395,2570.0,10377.0,363000.0
2014.0,9.0,29.0,4.0,2.5,3650.0,8354.0,1.0,3.0,9.0,1830.0,1820.0,2000.0,98074.0,47.6338,-122.072,3120.0,18841.0,2400000.0
2015.0,2.0,26.0,2.0,1.5,720.0,5120.0,1.0,3.0,6.0,720.0,0.0,1954.0,98106.0,47.5218,-122.357,1150.0,2566.0,181000.0
2015.0,3.0,14.0,4.0,2.0,2010.0,7312.0,1.0,4.0,7.0,2010.0,0.0,1976.0,98002.0,47.2785,-122.213,2010.0,7650.0,250000.0
2014.0,9.0,23.0,3.0,2.0,1810.0,7209.0,1.0,4.0,7.0,1240.0,570.0,1978.0,98032.0,47.3656,-122.278,1750.0,7209.0,260000.0
2014.0,5.0,13.0,4.0,2.5,3360.0,7685.0,2.0,3.0,9.0,3360.0,0.0,2001.0,98058.0,47.4369,-122.111,3060.0,6567.0,455000.0
2015.0,4.0,1.0,3.0,2.25,1510.0,36224.0,2.0,3.0,8.0,1510.0,0.0,1991.0,98045.0,47.4616,-121.711,1730.0,36224.0,415000.0
2014.0,9.0,29.0,3.0,2.5,1730.0,7442.0,2.0,3.0,7.0,1730.0,0.0,1987.0,98030.0,47.3507,-122.178,1630.0,6458.0,245000.0
2014.0,10.0,20.0,4.0,1.75,2360.0,7620.0,1.0,4.0,7.0,1180.0,1180.0,1955.0,98106.0,47.5278,-122.345,1910.0,7620.0,385000.0
2015.0,2.0,11.0,3.0,1.75,1580.0,11455.0,1.0,4.0,7.0,1200.0,380.0,1974.0,98059.0,47.4756,-122.147,1550.0,10650.0,315000.0
2014.0,11.0,24.0,3.0,1.0,1230.0,10170.0,1.0,3.0,7.0,1230.0,0.0,1979.0,98045.0,47.4437,-121.772,1380.0,10098.0,255000.0
2014.0,8.0,29.0,4.0,2.5,2460.0,4425.0,2.0,3.0,8.0,2460.0,0.0,2006.0,98052.0,47.7048,-122.109,2990.0,5659.0,693000.0
2014.0,12.0,2.0,3.0,1.0,1660.0,4400.0,1.5,3.0,8.0,1460.0,200.0,1911.0,98112.0,47.6362,-122.302,1660.0,4400.0,780000.0
2014.0,12.0,16.0,3.0,2.25,2100.0,40510.0,2.0,3.0,10.0,1320.0,780.0,1979.0,98074.0,47.6154,-122.047,2380.0,33450.0,525000.0
2014.0,5.0,19.0,4.0,2.5,1700.0,7280.0,2.0,4.0,7.0,1700.0,0.0,1988.0,98031.0,47.4045,-122.171,1950.0,7475.0,290000.0
2015.0,4.0,9.0,3.0,2.5,2070.0,9900.0,1.0,3.0,8.0,1420.0,650.0,1979.0,98023.0,47.2988,-122.371,2070.0,8250.0,272500.0
2014.0,10.0,7.0,4.0,4.75,5310.0,57346.0,2.0,4.0,11.0,5310.0,0.0,1989.0,98077.0,47.7285,-122.042,4180.0,47443.0,1365000.0
2015.0,5.0,1.0,2.0,1.0,1040.0,7538.0,1.0,4.0,7.0,1040.0,0.0,1939.0,98133.0,47.7107,-122.352,1440.0,7530.0,436000.0
2014.0,10.0,17.0,3.0,1.0,1700.0,11390.0,1.0,4.0,7.0,1700.0,0.0,1967.0,98003.0,47.3271,-122.323,1350.0,8164.0,210000.0
2014.0,11.0,13.0,4.0,2.75,3820.0,26300.0,2.0,3.0,9.0,2850.0,970.0,2014.0,98028.0,47.7618,-122.261,1860.0,12136.0,770000.0
2015.0,5.0,13.0,5.0,3.0,3830.0,8480.0,2.0,5.0,9.0,2630.0,1200.0,1905.0,98122.0,47.6166,-122.287,3050.0,7556.0,2050000.0
2014.0,6.0,30.0,4.0,2.5,3500.0,7048.0,2.0,3.0,9.0,3500.0,0.0,2005.0,98053.0,47.6811,-122.025,3920.0,7864.0,780000.0
2014.0,9.0,5.0,4.0,2.5,2720.0,8666.0,2.0,3.0,9.0,2720.0,0.0,1992.0,98030.0,47.3846,-122.169,2410.0,8100.0,370000.0
2014.0,7.0,2.0,5.0,2.25,2900.0,10300.0,1.0,3.0,8.0,1450.0,1450.0,1985.0,98006.0,47.5461,-122.151,2310.0,10300.0,675000.0
2014.0,7.0,23.0,4.0,2.5,1890.0,15770.0,2.0,4.0,7.0,1890.0,0.0,1968.0,98166.0,47.4281,-122.343,2410.0,15256.0,389999.0
2015.0,2.0,24.0,4.0,1.75,2950.0,9025.0,1.0,4.0,8.0,1780.0,1170.0,1975.0,98034.0,47.7128,-122.223,2120.0,9600.0,630000.0
2014.0,10.0,2.0,4.0,3.0,3280.0,11060.0,2.0,3.0,8.0,2270.0,1010.0,1986.0,98056.0,47.5399,-122.181,2320.0,11004.0,580000.0
2014.0,7.0,10.0,4.0,2.5,3360.0,22111.0,2.0,3.0,10.0,3360.0,0.0,1994.0,98075.0,47.5951,-122.017,3150.0,11374.0,879000.0
2015.0,3.0,4.0,3.0,2.5,2650.0,7286.0,2.0,3.0,8.0,2650.0,0.0,1990.0,98059.0,47.5084,-122.154,2400.0,7220.0,446500.0
2014.0,5.0,29.0,3.0,1.75,1590.0,11914.0,1.0,3.0,7.0,1090.0,500.0,1957.0,98188.0,47.4427,-122.274,1630.0,9052.0,267500.0
2014.0,8.0,11.0,3.0,2.5,2440.0,7632.0,2.0,3.0,8.0,2440.0,0.0,1998.0,98003.0,47.3494,-122.301,2510.0,7903.0,335000.0
2014.0,6.0,19.0,3.0,2.5,1940.0,9000.0,1.0,4.0,7.0,970.0,970.0,1948.0,98117.0,47.6933,-122.393,2190.0,7310.0,576000.0
2015.0,4.0,1.0,3.0,2.5,2040.0,3810.0,2.0,3.0,8.0,2040.0,0.0,2006.0,98038.0,47.3537,-122.0,2370.0,4590.0,208633.0
2015.0,1.0,15.0,3.0,2.25,2200.0,8750.0,1.0,4.0,7.0,1120.0,1080.0,1964.0,98166.0,47.476,-122.337,1460.0,10139.0,315000.0
2015.0,2.0,17.0,3.0,1.75,1920.0,3300.0,1.0,4.0,8.0,960.0,960.0,1913.0,98112.0,47.6239,-122.298,1740.0,4000.0,725000.0
2015.0,4.0,3.0,4.0,2.75,1800.0,7750.0,1.0,4.0,8.0,1400.0,400.0,1965.0,98177.0,47.7776,-122.384,1800.0,8275.0,550000.0
2015.0,2.0,28.0,2.0,1.0,1010.0,5000.0,1.5,4.0,6.0,1010.0,0.0,1908.0,98105.0,47.6692,-122.297,1460.0,5000.0,550700.0
2015.0,1.0,8.0,4.0,2.75,3320.0,10574.0,2.0,5.0,8.0,2220.0,1100.0,1960.0,98056.0,47.5376,-122.18,2720.0,8330.0,665000.0
2014.0,5.0,2.0,5.0,2.5,3650.0,9050.0,2.0,5.0,10.0,3370.0,280.0,1921.0,98119.0,47.6345,-122.367,2880.0,5400.0,2384000.0
